code,name,price,change_pct,pe_ttm,pb,mcap_yi
000656,*ST金科,1.34,-1.47,0.46,3.6,101.48
600841,动力新科,6.71,-1.32,2.99,1.45,69.99
000498,山东路桥,5.02,-1.18,3.63,0.47,72.76
601997,贵阳银行,5.72,-0.52,3.96,0.32,209.13
600015,华夏银行,6.91,-0.43,4.05,0.34,1063.26
603323,苏农银行,4.76,-0.63,4.65,0.5,96.08
601577,长沙银行,9.6,-1.23,4.69,0.52,385.99
601528,瑞丰银行,4.72,-1.46,4.72,0.47,81.87
601186,中国铁建,6.31,-0.16,4.87,0.31,725.85
601818,光大银行,3.17,-0.31,4.95,0.37,1471.1
601336,新华保险,59.22,2.05,5.01,1.5,1235.0
000001,平安银行,11.3,-0.18,5.09,0.47,2192.83
002958,青农商行,2.94,-0.68,5.11,0.43,159.92
600502,安徽建工,4.62,-2.94,5.12,0.65,79.3
601166,兴业银行,18.79,-0.53,5.13,0.48,3976.5
601668,中国建筑,4.74,0.0,5.16,0.39,1958.59
600908,无锡银行,5.5,-0.54,5.19,0.52,109.96
601390,中国中铁,4.46,-0.67,5.19,0.34,913.36
002839,张家港行,4.26,-1.16,5.22,0.55,104.03
600016,民生银行,3.57,-0.83,5.33,0.27,1266.0
601169,北京银行,5.19,-0.19,5.35,0.39,1097.32
002807,江阴银行,4.07,0.25,5.35,0.56,110.03
601229,上海银行,9.14,-0.65,5.36,0.52,1298.71
601128,常熟银行,6.43,-0.62,5.41,0.74,234.58
601601,中国太保,32.06,-1.38,5.72,0.97,2194.52
600928,西安银行,3.49,-1.97,5.76,0.43,154.38
601998,中信银行,7.64,-0.65,5.97,0.58,3114.29
600919,江苏银行,11.78,0.43,6.12,0.82,2161.79
600926,杭州银行,16.61,0.0,6.13,0.86,1204.06
601838,成都银行,19.76,-0.2,6.24,0.91,837.51
002948,青岛银行,5.89,-0.67,6.29,0.81,207.46
600000,浦发银行,9.55,-0.42,6.33,0.42,3180.71
000885,城发环境,12.69,2.26,6.38,0.85,81.48
601328,交通银行,6.97,0.43,6.39,0.53,1817.25
601077,渝农商行,6.96,-1.14,6.42,0.58,615.14
600036,招商银行,38.73,-0.44,6.48,0.86,7989.59
601009,南京银行,11.68,0.26,6.48,0.77,1444.06
601916,浙商银行,3.08,-0.96,6.52,0.46,663.57
001227,兰州银行,2.13,0.47,6.6,0.39,89.83
002966,苏州银行,8.15,-1.69,6.65,0.7,358.23
600704,物产中大,4.67,-1.06,6.69,0.57,241.49
601628,中国人寿,34.33,-0.87,6.7,1.62,7148.72
601665,齐鲁银行,6.44,-0.62,6.71,0.78,396.31
601117,中国化学,7.34,0.41,6.83,0.65,445.51
000913,钱江摩托,11.12,-0.98,6.87,1.17,57.84
601825,沪农商行,8.8,-1.46,6.88,0.64,824.95
601658,邮储银行,5.1,0.39,6.97,0.59,3698.92
000685,中山公用,10.25,-1.25,6.97,0.78,127.77
601319,中国人保,6.73,-0.74,6.98,0.93,2389.0
000544,中原环保,7.65,-0.78,7.01,0.79,74.56
600064,南京高科,7.27,-0.14,7.13,0.64,125.8
601318,中国平安,52.64,-1.09,7.18,0.97,5611.46
002142,宁波银行,32.85,0.46,7.21,0.93,2167.92
000623,吉林敖东,16.72,-0.95,7.29,0.63,199.13
600741,华域汽车,16.65,0.3,7.32,0.77,524.93
601963,重庆银行,11.78,-3.68,7.33,0.73,239.61
601398,工商银行,7.66,-0.39,7.35,0.7,20652.3
000651,格力电器,38.5,0.79,7.39,1.42,2125.97
601717,中创智领,17.5,1.04,7.63,1.25,269.88
601800,中国交建,6.28,1.29,7.63,0.35,740.02
601187,厦门银行,7.81,1.69,7.68,0.76,205.67
600820,隧道股份,5.37,-1.65,7.74,0.53,168.84
601860,紫金银行,2.65,-0.75,7.75,0.48,94.12
601288,农业银行,6.68,-0.45,7.94,0.84,21325.51
688330,宏力达,36.0,2.42,7.99,1.15,50.4
601939,建设银行,10.6,1.05,8.11,0.78,1016.93
601988,中国银行,6.2,-0.32,8.14,0.73,13067.46
002936,郑州银行,1.75,-1.13,8.16,0.34,123.01
600970,XD中材国,8.33,-2.46,8.23,0.99,218.4
600018,上港集团,4.97,-0.6,8.47,0.8,1155.36
600269,赣粤高速,4.13,-2.13,8.56,0.49,96.45
601919,中远海控,14.23,-1.25,8.7,0.92,1786.79
000987,越秀资本,7.23,-2.17,8.72,1.09,362.46
601669,中国电建,4.75,-2.26,8.76,0.56,620.9
600987,航民股份,6.38,0.31,8.83,0.99,65.13
600720,中交设计,5.53,-1.6,8.86,0.79,55.8
600210,紫江企业,6.36,-1.24,8.88,1.4,96.46
000612,焦作万方,10.58,0.28,8.88,1.72,126.13
000600,建投能源,10.07,-0.98,8.93,1.5,109.77
002588,史丹利,8.56,0.0,9.07,1.3,73.5
000543,皖能电力,8.63,1.29,9.1,1.11,195.63
002668,TCL智家,9.47,4.87,9.1,2.83,102.67
000719,中原传媒,12.32,-1.99,9.16,1.02,82.19
600011,华能国际,8.17,0.12,9.21,1.83,898.51
605599,XD菜百股,14.47,-0.75,9.29,2.53,112.54
601677,明泰铝业,16.7,-2.4,9.34,1.05,207.63
603049,中策橡胶,45.24,-1.76,9.38,1.55,228.45
000589,贵州轮胎,4.46,-1.11,9.44,0.75,68.87
002736,国信证券,10.03,-0.1,9.47,1.02,964.13
000902,新洋丰,12.13,-1.06,9.53,1.26,138.62
000776,广发证券,19.15,0.47,9.57,1.09,1130.63
002572,索菲亚,8.47,-0.47,9.59,1.24,55.18
601156,东航物流,16.46,0.86,9.6,1.29,155.48
002091,江苏国泰,7.5,0.0,9.66,0.79,119.86
002546,新联电子,6.53,-1.95,9.69,1.44,52.32
000783,长江证券,7.38,-1.07,9.71,1.11,408.12
600861,北京人力,14.53,-0.68,9.77,1.09,78.0
002608,江苏国信,8.74,0.92,9.77,0.92,330.2
300926,博俊科技,18.58,-0.8,9.79,2.29,55.37
600968,海油发展,3.82,0.26,9.89,1.29,388.31
601688,华泰证券,19.29,-0.41,9.93,0.98,1409.47
601811,新华文轩,12.61,-2.32,9.94,1.0,99.86
601827,三峰环境,7.45,-2.23,9.95,1.04,124.56
002061,浙江交科,3.58,0.0,9.96,0.61,93.05
603368,柳药集团,16.51,0.49,9.99,0.82,65.58
600033,福建高速,3.49,-0.29,10.0,0.76,95.78
600894,广日股份,8.36,-2.68,10.01,0.8,70.49
600027,华电国际,5.07,0.0,10.02,1.18,467.23
601900,南方传媒,11.63,-2.92,10.03,1.12,102.57
600282,南钢股份,4.7,-1.88,10.04,1.06,289.76
601598,中国外运,5.72,-2.05,10.11,0.98,295.01
603071,物产环能,11.9,-1.65,10.11,1.16,66.4
600098,广州发展,6.96,-1.0,10.16,0.88,244.01
000598,兴蓉环境,6.91,1.92,10.18,1.02,205.86
300773,拉卡拉,21.83,-2.54,10.18,3.48,160.35
601881,中国银河,11.96,-0.91,10.2,1.08,866.31
600461,洪城环境,9.36,-1.27,10.21,1.18,120.2
600757,长江传媒,7.99,-1.72,10.22,0.94,96.96
600713,南京医药,4.87,-2.01,10.25,0.87,62.81
603565,中谷物流,9.7,1.04,10.28,1.95,203.71
600873,梅花生物,8.73,-4.49,10.29,1.49,244.81
600039,四川路桥,8.34,0.36,10.33,1.37,725.21
600096,云天化,29.99,4.49,10.33,2.29,546.71
600511,国药股份,27.54,0.25,10.33,1.09,152.39
600710,苏美达,10.85,-2.25,10.33,1.66,141.78
600874,创业环保,5.82,1.04,10.34,0.87,71.61
601607,上海医药,16.24,-0.06,10.37,0.78,452.97
600639,浦东金桥,9.64,0.94,10.38,0.72,81.96
002532,天山铝业,13.41,0.15,10.38,2.06,550.73
000686,东北证券,7.4,-2.12,10.44,0.85,173.19
600690,海尔智家,21.11,3.38,10.58,1.58,1320.01
000404,长虹华意,7.76,0.39,10.59,1.22,53.76
002170,芭田股份,11.08,1.65,10.6,3.08,87.21
601163,三角轮胎,13.03,-1.51,10.69,0.74,104.24
603529,爱玛科技,20.02,-3.38,10.69,1.85,169.68
001872,招商港口,20.05,-3.33,10.7,0.76,461.55
600612,老凤祥,34.6,-1.93,10.72,1.32,109.72
000528,柳    工,8.21,-3.64,10.73,0.91,167.0
000933,神火股份,26.77,1.98,10.78,2.4,601.63
600368,五洲交通,3.74,-2.09,10.79,0.81,60.2
000690,宝新能源,5.13,1.99,10.79,0.88,111.55
002011,盾安环境,10.63,-0.93,10.81,1.67,112.63
601686,友发集团,4.98,0.2,10.84,1.1,73.3
603613,国联股份,19.96,-4.36,10.84,1.53,143.82
000411,英特集团,9.22,-1.91,10.84,0.96,51.98
000563,陕国投Ａ,2.84,-1.73,10.87,0.79,145.24
601555,东吴证券,7.39,-1.34,10.88,0.84,367.19
000807,云铝股份,27.23,2.18,10.88,2.75,944.31
600062,华润双鹤,17.05,-0.18,10.9,1.46,177.02
600694,大商股份,14.42,0.14,10.92,0.62,54.62
300724,捷佳伟创,68.95,-2.2,11.02,1.82,198.38
000030,富奥股份,4.29,-4.03,11.11,0.86,71.68
600273,嘉化能源,6.94,-0.43,11.16,0.92,91.0
002060,广东建工,3.21,-1.83,11.19,0.86,50.17
000166,申万宏源,4.42,0.91,11.2,0.97,996.07
600030,中信证券,25.51,-0.58,11.22,1.32,3106.24
002379,宏桥控股,16.99,-0.88,11.23,4.52,193.07
600528,中铁工业,6.93,-1.56,11.25,0.6,153.95
600999,招商证券,17.24,0.23,11.26,1.21,1279.55
002215,诺 普 信,8.71,-0.91,11.28,1.91,70.4
601058,赛轮轮胎,12.18,-4.02,11.31,1.84,400.49
000028,国药一致,22.31,-1.54,11.34,0.66,106.65
002867,周大生,11.98,-0.91,11.36,1.92,129.28
601518,吉林高速,2.96,-1.99,11.38,0.96,55.96
600483,福能股份,11.71,-1.18,11.4,1.17,325.55
002078,太阳纸业,13.36,-2.12,11.41,1.2,371.05
688336,三生国健,54.94,-0.83,11.42,3.94,338.86
600827,百联股份,7.89,-1.99,11.44,0.68,126.59
601298,青岛港,9.24,-0.22,11.44,1.27,498.23
000828,东莞控股,9.78,-0.71,11.44,1.0,101.66
600780,通宝能源,6.51,1.24,11.45,0.87,74.64
603833,欧派家居,34.66,-0.97,11.45,1.14,211.13
000932,华菱钢铁,3.76,-0.27,11.47,0.46,257.66
601108,财通证券,7.33,-2.27,11.5,0.89,340.39
000708,中信特钢,13.83,1.69,11.53,1.65,698.02
600323,瀚蓝环境,30.18,-0.26,11.54,1.62,246.07
600901,江苏金租,6.58,-2.81,11.58,1.47,381.01
603889,新澳股份,6.1,-0.33,11.6,1.63,57.47
603444,吉比特,327.42,0.54,11.63,4.29,235.88
600428,中远海特,7.83,2.22,11.67,1.26,168.08
002705,新宝股份,11.95,-1.97,11.67,1.12,96.57
600867,通化东宝,7.38,-2.64,11.69,2.17,144.54
000550,江铃汽车,16.58,-2.13,11.71,1.19,85.96
600761,安徽合力,16.02,-2.2,11.74,1.33,142.69
600061,国投资本,6.19,-1.9,11.76,0.72,395.79
600211,西藏药业,35.31,-2.03,11.77,3.14,113.81
600717,天津港,4.31,0.0,11.78,0.61,124.73
601326,秦港股份,3.4,0.89,11.78,0.92,161.76
601899,紫金矿业,27.33,-1.34,11.78,3.68,5630.47
600332,白云山,21.39,-0.51,11.81,0.88,300.72
600517,国网英大,4.79,-1.84,11.82,1.14,273.91
600998,九州通,4.73,0.21,11.82,0.9,238.51
601918,新集能源,9.83,1.55,11.83,1.46,254.65
600496,精工钢构,3.76,-2.08,11.84,0.8,74.83
000848,承德露露,7.68,-1.16,11.87,2.45,77.66
000527,美的电器,14.02,0.0,11.88,2.1,474.49
601000,唐山港,4.2,-1.41,11.92,1.2,248.89
600066,宇通客车,29.5,-1.83,11.96,5.54,653.11
002034,旺能环境,16.7,-2.34,11.96,1.18,85.93
600233,圆通速递,16.95,-0.64,11.98,1.64,580.19
600595,中孚实业,6.6,-0.3,11.98,1.53,264.52
601107,四川成渝,5.81,-1.69,11.98,1.02,125.66
601098,中南传媒,10.72,-3.86,11.99,1.16,192.53
300770,新媒股份,33.84,1.32,11.99,2.17,77.1
601857,中国石油,10.37,1.27,12.0,1.17,16791.32
000680,山推股份,10.15,-3.7,12.0,2.41,133.44
600801,华新建材,18.77,2.29,12.01,1.19,251.84
002206,海 利 得,5.16,-1.9,12.05,1.54,54.54
002440,闰土股份,8.63,-1.6,12.05,0.96,81.67
601600,中国铝业,10.33,2.28,12.08,2.2,1360.81
002555,三七互娱,17.61,-3.08,12.08,2.96,279.53
600035,楚天高速,3.78,-0.79,12.11,0.67,60.86
600583,海油工程,5.43,0.56,12.11,0.83,240.08
601766,中国中车,5.71,1.06,12.13,0.93,1389.12
601311,骆驼股份,7.88,-2.6,12.16,0.9,92.44
601898,中煤能源,16.31,2.97,12.18,1.32,1492.69
603995,甬金股份,19.03,-2.16,12.2,1.21,69.58
601019,山东出版,6.9,-1.43,12.21,0.92,144.0
600507,方大特钢,4.23,-1.86,12.23,1.0,97.85
603799,华友钴业,47.53,0.81,12.26,1.82,897.18
000899,赣能股份,12.81,0.79,12.31,1.88,124.98
600642,申能股份,9.56,1.27,12.34,1.23,467.85
600104,上汽集团,10.87,-1.98,12.36,0.42,1249.54
600109,国金证券,7.96,-0.25,12.36,0.82,294.95
601139,深圳燃气,6.2,0.98,12.37,1.08,178.36
002928,华夏航空,6.56,-3.53,12.37,2.11,83.85
600961,株冶集团,23.1,2.58,12.44,4.9,173.67
002140,东华科技,9.74,-1.32,12.44,1.41,68.86
601877,正泰电器,26.7,1.06,12.46,1.3,573.77
000786,北新建材,21.05,-1.86,12.49,1.28,355.64
601018,宁波港,3.32,-0.6,12.51,0.81,645.89
601901,方正证券,6.49,-0.61,12.54,1.02,534.26
002432,九安医疗,61.74,-4.99,12.54,1.37,287.26
603816,顾家家居,27.02,0.11,12.56,2.0,219.45
600019,宝钢股份,5.85,1.92,12.57,0.61,1252.72
601975,招商南油,3.94,-1.5,12.64,1.56,184.41
000728,国元证券,6.74,-1.75,12.64,0.76,294.12
000568,泸州老窖,85.48,0.08,12.65,2.44,1257.46
600585,海螺水泥,18.57,-1.12,12.67,0.51,742.74
002508,老板电器,16.41,-0.42,12.68,1.37,153.2
600008,首创环保,3.12,-0.32,12.71,1.08,229.03
600219,南山铝业,4.58,0.44,12.73,1.06,525.95
000999,华润三九,24.7,0.9,12.74,1.85,410.69
603338,浙江鼎力,48.5,-2.28,12.77,2.07,245.58
002043,兔 宝 宝,11.55,-3.67,12.79,3.0,93.27
600346,恒力石化,16.29,-0.55,12.84,1.67,1146.67
600398,海澜之家,5.84,-0.17,12.87,1.62,280.48
600938,中国海油,33.82,-0.68,12.89,1.92,1011.22
600897,厦门空港,15.76,1.61,12.9,1.32,65.71
300815,玉禾田,18.18,-3.66,12.92,1.59,70.97
600803,新奥股份,18.23,1.45,12.94,2.33,559.98
600958,东方证券,8.82,-0.56,12.95,0.92,658.81
603369,今世缘,24.37,-0.25,12.96,1.85,303.85
000791,甘肃能源,8.24,-0.12,12.98,1.81,159.5
002697,红旗连锁,4.46,-1.98,13.0,1.27,51.08
600057,厦门象屿,5.98,0.17,13.01,1.08,125.13
002926,华西证券,7.76,-1.52,13.03,0.81,203.7
600648,外高桥,8.73,-1.91,13.05,0.74,99.33
002911,佛燃能源,10.38,-1.42,13.06,3.19,131.52
600933,爱柯迪,14.4,-1.3,13.09,1.51,141.27
300360,炬华科技,12.42,-2.36,13.11,1.56,62.13
600377,宁沪高速,12.37,-2.98,13.12,1.44,470.33
600742,富维股份,7.92,1.15,13.13,0.7,58.85
002961,瑞达期货,18.45,-1.13,13.14,2.2,87.99
002004,华邦健康,4.55,0.0,13.18,0.87,85.69
600795,国电电力,4.99,1.42,13.19,1.46,890.0
600329,达仁堂,37.51,-1.86,13.25,3.84,212.72
600983,惠而浦,8.63,2.49,13.26,2.15,66.14
002236,大华股份,15.84,-2.46,13.27,1.4,378.75
600809,山西汾酒,119.6,0.68,13.29,3.24,1459.08
600125,铁龙物流,5.49,-1.79,13.3,0.91,71.67
603871,嘉友国际,11.75,1.73,13.32,2.56,160.74
301061,匠心家居,38.95,-0.76,13.35,2.61,73.59
002939,长城证券,7.84,-2.12,13.36,0.97,282.45
002533,金杯电工,10.84,-1.54,13.37,1.9,69.12
002468,申通快递,13.91,-0.71,13.38,1.89,203.66
002701,奥瑞金,4.49,-3.02,13.38,1.16,114.83
600989,宝丰能源,22.96,2.23,13.39,3.43,1683.74
600887,伊利股份,25.61,0.12,13.4,3.01,1611.88
601512,中新集团,8.19,0.0,13.4,0.8,122.76
600177,雅戈尔,7.44,-1.46,13.41,0.83,335.06
601921,浙版传媒,7.58,0.26,13.43,1.16,168.44
002299,圣农发展,16.08,0.31,13.46,1.78,196.01
002001,新 和 成,29.41,-2.71,13.47,2.77,893.14
603612,索通发展,19.19,-0.67,13.49,1.62,95.59
601995,中金公司,31.73,-2.31,13.52,1.49,927.64
300979,华利集团,32.8,-1.23,13.53,2.53,382.77
603713,密尔克卫,54.69,-1.1,13.54,1.82,86.48
601928,凤凰传媒,9.11,-2.15,13.55,1.14,231.84
002648,卫星化学,23.56,-0.76,13.55,2.24,793.14
300415,伊之密,20.58,-1.2,13.56,3.09,93.25
605050,福然德,10.22,-1.54,13.57,1.13,50.37
603298,杭叉集团,23.13,-4.22,13.58,2.63,302.96
300428,立中集团,18.28,-1.93,13.58,1.38,109.09
301219,腾远钴业,53.87,0.56,13.58,2.15,147.19
