code,name,price,pe_ttm,pb,roe,gross_margin,net_margin,revenue_yi,net_profit_yi,peg,mcap_yi
600961,株冶集团,22.83,12.3,4.85,19.5,75.9,16.3,700.8,114.4,0.6,171.64
002215,诺 普 信,8.87,11.48,1.95,15.4,57.3,28.6,263.1,75.3,0.7,71.23
600221,海航控股,1.46,18.38,9.07,24.8,88.1,9.3,1847.3,172.5,0.7,625.54
300773,拉卡拉,22.67,10.58,3.61,12.2,75.8,36.9,161.4,59.5,0.9,166.52
002379,宏桥控股,17.35,11.47,4.61,12.9,76.0,16.5,4093.3,675.8,0.9,197.16
000807,云铝股份,26.7,10.67,2.6,10.1,68.4,22.0,1638.3,360.0,1.1,925.93
600809,山西汾酒,116.85,12.98,3.17,12.0,25.0,36.1,1492.3,538.3,1.1,1425.53
601899,紫金矿业,28.47,12.27,3.84,10.0,63.7,20.4,9849.8,2007.9,1.2,5865.33
300444,双杰电气,13.05,22.53,5.05,13.4,85.2,50.7,55.5,28.1,1.7,81.88
002842,翔鹭钨业,34.26,29.05,7.68,17.2,69.0,21.8,114.8,25.1,1.7,91.98
002027,分众传媒,5.36,21.5,5.01,11.6,31.3,61.4,291.5,179.0,1.9,774.1
000426,兴业银锡,36.13,24.05,5.93,12.4,30.9,62.8,213.0,133.8,1.9,641.38
300723,一品红,35.34,79.82,8.25,30.7,33.9,154.2,38.5,59.4,2.6,148.14
603045,福达合金,89.2,41.06,9.64,14.5,83.6,9.3,194.2,18.1,2.8,120.82
603626,科森科技,23.21,100.78,5.66,16.9,88.6,61.6,62.5,38.5,6.0,128.79
